17010	93	394	112	421	0
17011	65	394	84	421	0
17012	35	395	54	421	0

#BRACE RIGHT & LEFT
17013	425	394	441	422	0
17014	5	394	21	422	0

#JUMP WALK RIGHT & LEFT
17015	395	515	411	541	0
17016	35	515	51	541	0

#JUMP RUN RIGHT & LEFT
17017	394	435	410	461	0
17018	33	435	52	461	0

#SIT RIGHT & LEFT
17019	426	479	440	497	0
17020	6	479	20	497	0

########### FLY_MARIO #############
#IDLE
18001	243	634	264	662	0
18002	182	634	203	662	0

#WALK RIGHT
18003	272	634	294	662	0
18004	303	634	324	661	0

#WALK LEFT
18005	152	634	174	662	0
18006	122	634	140	661	0

#RUN RIGHT
18007	272	634	294	662	0
18008	303	634	324	661	0
18009	335	0	350	15	0

#RUN LEFT
18010	152	634	174	662	0
18011	122	634	140	661	0
18012	91	634	115	662	0

#BRACE RIGHT & LEFT
18013	5	633	21	663	0
18014	425	633	441	663	0

#JUMP WALK RIGHT & LEFT 
18015	92	874	114	902	0
18016	332	874	354	902	0

#JUMP RUN RIGHT & LEFT 
18017	182	874	204	902	0
18018	242	874	264	902	0

#WALK UP
18019	275	754	291	782	0
18020	155	754	171	782	0

#WALK DOWN
18021	303	753	324	782	0
18022	122	753	143	782	0

#FLY-RIGHT
18023	361	714	385	742	0
18024	361	754	385	781	0

#FLY-LEFT
18025	61	714	85	741	0
18026	61	754	85	781	0

#SIT_RIGHT & LEFT
18027	32	719	54	737	0
18028	2	719	24	737	0	
18029	393	678	414	697	0
18030	422	719	444	737	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#WALK UP
1700	12501	100	12502	100

#WALK DOWN
1701	12601	100	12602	100

################ FIRE ###################

#IDLE
51000	17001	100
52000	17002	100

#WALK LEFT & RIGHT
53000	17003	100	17004	100
54000	17005	100	17006	100

#RUN LEFT & RIGHT
55000	17007	100	17008	100	17009	100
56000	17010	100	17011	100	17012	100

#BRACE RIGHT & LEFT
57000	17013	100
58000	17014	100

#JUMP WALK RIGHT & LEFT
59001	17015	100
60001	17016	100

#JUMP RUN RIGHT & LEFT
59000	17017	100
60000	17018	100

#SIT RIGHT & LEFT
61000	17019	100
62000	17020	100


################ FLY ###################
#IDLE
71000	18001	100
72000	18002	100

#WALK LEFT & RIGHT
73000	18005	100	18006	100
74000	18003	100	18004	100

#RUN LEFT & RIGHT
75000	18010	100	18011	100	18012	100
76000	18007	100	18008	100	18009	100

#BRACE RIGHT & LEFT
77000	18013	100
78000	18014	100

#JUMP WALK RIGHT & LEFT
79000	18015	100
80000	18016	100

#JUMP RUN RIGHT & LEFT
81000	18017	100
82000	18018	100

#WALK UP
83000	18019	100	18020	100

#WALK DOWN
84000	18021	100	18022	100

#FLY_RIGHT
85000	18023	100	18024	100

#FLY_LEFT
86000	18025	100	18026	100

$SIT_RIGHT_LEFT
87000	18027	100	18028	100
88000	18029	100	18030	100
